,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
DDD,3D Systems Corp,"3D Systems Corp through its subsidiaries is engaged in providing 3D printing centric solutions, including 3D printers, print materials and cloud sourced custom parts.",Cyclical,http://www.3dsystems.com,1.6Bil,-640.0Mil,0.7Bil,"2,492",Technology,Computer Systems
MMM,3M Co,"3M Co is a diversified technology company. The Company's business segments are Industrial, Safety and Graphics, Health Care, Electronics and Energy, and Consumer. Its products include vinyl, polyester, and foil.",Cyclical,http://www.3m.com,104.0Bil,4.9Bil,30.1Bil,"89,446",Industrials,Diversified Industrials
WUBA,58.com Inc ADR repr Class A,"58.com Inc operates online marketplace serving local merchants and consumers in China. Its online marketplace enables local merchants and consumers to connect, share information and conduct business.",,http://www.58.com,4.5Bil,-63.8Mil,1.1Bil,"20,705",Technology,Internet Content & Information
AHC,A H Belo Corp A,"A H Belo Corp is a local news and information publishing company with commercial printing, distribution and direct mail capabilities, as well as expertise in emerging media and digital marketing.",Distressed,http://www.ahbelo.com,0.1Bil,-14.1Mil,0.3Bil,"1,160",Consumer Cyclical,Publishing
ATEN,A10 Networks Inc,"A10 Networks Inc provides application networking technologies. Its solutions enable enterprises, service providers, web giants and government organizations to accelerate, secure and optimize the performance of data center applications and networks.",Cyclical,http://www.a10networks.com,0.6Bil,-26.5Mil,0.2Bil,722,Technology,Communication Equipment
AAC,AAC Holdings Inc,"AAC Holdings Inc provides inpatient substance abuse treatment services. The Company treats adults as well as adolescents who are struggling with drug addiction, alcohol addiction, and co-occurring mental or behavioural health issues.",Aggressive,http://www.americanaddictioncenters.org,0.2Bil,-0.6Mil,0.3Bil,"2,200",Healthcare,Medical Care
AIR,AAR Corp,"AAR Corp along with its subsidiaries is engaged in providing products & services including overhaul, repair & engineering services to aviation & government & defense markets. Its business segments are Aviation Services and Expeditionary Services.",Cyclical,http://www.aarcorp.com,1.3Bil,34.3Mil,1.7Bil,"4,700",Industrials,Aerospace & Defense
AAN,Aaron's Inc,"Aaron's Inc is a specialty retailer of furniture, consumer electronics, computers, appliances and household accessories. Its business segments are Sales and Lease Ownership, Progressive, HomeSmart, DAMI, Franchise and Manufacturing.",Cyclical,http://www.aaronrents.com,2.1Bil,0.1Bil,3.2Bil,"12,700",Industrials,Rental & Leasing Services
ABB,ABB Ltd ADR,"ABB Ltd provides power and automation technologies. It offers products, systems, solutions and services that are designed to boost industrial productivity, increase power grid reliability, and enhance energy efficiency.",,http://www.abb.com,44.2Bil,1.7Bil,34.1Bil,"135,000",Industrials,Diversified Industrials
ABT,Abbott Laboratories,"Abbott Laboratories discovers, develops, manufactures and sells health care products. Its products include branded generic pharmaceuticals manufactured internationally, marketed and sold outside the United States.",Slow,http://www.abbott.com,58.7Bil,1.4Bil,20.7Bil,"74,000",Healthcare,Medical Devices
ABBV,AbbVie Inc,"AbbVie Inc is a research-based biopharmaceutical company. The Company is engaged in the discovery, development, manufacture and sale of a broad line of pharmaceutical products for treating chronic autoimmune diseases, virology and neurological disorders.",High,http://www.abbvie.com,98.4Bil,6.1Bil,25.2Bil,"28,000",Healthcare,Drug Manufacturers - Major
ANF,Abercrombie & Fitch Co Class A,"Abercrombie & Fitch Co is a specialty retailer, which operates stores and direct-to-consumer operations. The Company sells products, including casual sportswear apparel, including knit and woven shirts, and graphic t-shirts.",High,http://www.abercrombie.com,1.0Bil,46.9Mil,3.5Bil,"49,000",Consumer Cyclical,Apparel Stores
ABM,ABM Industries Inc,"ABM Industries Inc is engaged in providing end-to-end integrated facility solutions to commercial, industrial, institutional, retail, residential, and governmental facilities located throughout the United States.",Cyclical,http://www.abm.com,2.4Bil,88.2Mil,5.1Bil,"120,000",Industrials,Business Services
AKR,Acadia Realty Trust,"Acadia Realty Trust is a real estate investment trust. It is engaged in the ownership, acquisition, redevelopment and management of retail properties located in supply-constrained, densely-populated metropolitan areas in the United States.",Hard,http://www.acadiarealty.com,2.7Bil,61.8Mil,0.2Bil,116,Real Estate,REIT - Retail
ACN,Accenture PLC A,"Accenture PLC is a professional service company. The Company is engaged in providing management consulting, technology and outsourcing services to clients.",,http://www.accenture.com,80.2Bil,4.1Bil,34.8Bil,"384,000",Technology,Information Technology Services
ACCO,ACCO Brands Corp,"ACCO Brands Corp is a manufacturer & marketer of office, school & calendar products and select computer and electronic accessories. It sell its products to consumers & commercial end-users through resellers, including traditional office supply resellers.",Cyclical,http://www.accobrands.com,1.3Bil,0.1Bil,1.5Bil,"5,020",Industrials,Business Equipment
ATV,Acorn International Inc ADR,Acorn International Inc and its subsidiaries operates as an integrated multi-platform marketing company in the People's Republic of China. Its divisions include direct-sales platforms and our nationwide distribution network.,,http://www.chinadrtv.com,32.3Mil,-4.0Mil,34.0Mil,305,Consumer Cyclical,Specialty Retail
ATU,Actuant Corp Class A,"Actuant Corp is a diversified company that designs, manufactures and distributes a broad industrial products and systems to various end markets. The Company's business segments are Industrial, Energy, and Engineered Solutions.",Cyclical,http://www.actuant.com,1.5Bil,-105.2Mil,1.1Bil,"5,200",Industrials,Diversified Industrials
AYI,Acuity Brands Inc,"Acuity Brands Inc is the provider of lighting and building management solutions for commercial, institutional, industrial, infrastructure, and residential applications throughout North America and international markets.",Cyclical,http://www.acuitybrands.com,11.0Bil,0.3Bil,3.3Bil,"11,800",Technology,Electronic Components
GOLF,Acushnet Holdings Corp,"Acushnet Holdings Corp is engaged in the design, development, manufacture and distribution of performance-driven golf products.",,http://www.acushnetcompany.com,1.4Bil,17.6Mil,1.5Bil,"5,228",Consumer Cyclical,Leisure
AGRO,Adecoagro SA,"Adecoagro SA is an agricultural company in South America, with operations in Argentina, Brazil and Uruguay. It is engaged in farming crops and other agricultural products, dairy operations, sugar, ethanol and energy production and land transformation.",,http://www.adecoagro.com,1.3Bil,2.9Mil,0.9Bil,"8,111",Consumer Defensive,Farm Products
ADPT,Adeptus Health Inc Class A,"Adeptus Health Inc owns and operates First Choice Emergency Rooms, the network of independent freestanding emergency rooms in the United States.",Speculative,http://www.adhc.com,0.2Bil,84.7Mil,0.4Bil,"3,202",Healthcare,Medical Care
AAP,Advance Auto Parts Inc,"Advance Auto Parts Inc is a specialty retailer of automotive aftermarket parts, accessories, batteries and maintenance items operating within the United States.",Cyclical,http://www.advanceautoparts.com,12.0Bil,0.5Bil,9.5Bil,"73,000",Consumer Cyclical,Specialty Retail
ADSW,Advanced Disposal Services Inc,"Advanced Disposal Services Inc is an integrated provider of non-hazardous solid waste collection, transfer, recycling and disposal services operating in secondary markets or under exclusive arrangements.",,http://www.advanceddisposal.com,1.8Bil,-19.1Mil,1.4Bil,"5,400",Industrials,Waste Management
WMS,Advanced Drainage Systems Inc,"Advanced Drainage Systems Inc designs, manufactures and markets high performance thermoplastic corrugated pipe and related water management products in North and South America and Europe.",Cyclical,http://www.ads-pipe.com,1.2Bil,18.0Mil,1.3Bil,"4,300",Consumer Cyclical,Rubber & Plastics
ASX,Advanced Semiconductor Engineering Inc ADR,"Advanced Semiconductor Engineering Inc and its subsidiaries provides semiconductor packaging and testing services. Its services include semiconductor packaging, production of interconnect materials, engineering testing & wafer probing.",,http://www.aseglobal.com,8.3Bil,0.6Bil,8.5Bil,"68,141",Technology,Semiconductors
APFH,AdvancePierre Foods Holdings Inc,,Classic,http://www.advancepierre.com,2.1Bil,0.1Bil,1.5Bil,"4,000",Consumer Defensive,Packaged Foods
ASIX,AdvanSix Inc,"AdvanSix Inc manufactures Nylon 6, a polymer resin used to produce engineered plastics, fibers, filaments & films that are used in end-products as automotive & electronic components, carpets, sports apparel, fishing nets & food and industrial packaging.",Cyclical,http://www.advan6.com,0.5Bil,74.2Mil,1.2Bil,"1,100",Basic Materials,Chemicals
AAV,Advantage Oil & Gas Ltd,Advantage Oil & Gas Ltd and its subsidiaries is an intermediate natural gas and liquids development and production corporation in the Montney resource play located in Western Canada.,,http://www.advantageog.com,1.3Bil,4.1Mil,97.1Mil,26,Energy,Oil & Gas E&P
ACM,AECOM,"AECOM provides professional technical and management support services for public and private clients. It provides planning, consulting, architectural & engineering design, and program & construction management services.",Cyclical,http://www.aecom.com,5.6Bil,96.1Mil,17.4Bil,"87,000",Industrials,Engineering & Construction
ANW,Aegean Marine Petroleum Network Inc,Aegean Marine Petroleum Network Inc is an international marine fuel logistics company that markets and physically supplies refined marine fuel and lubricants to vessels in port and at sea.,,http://www.ampni.com,0.4Bil,45.6Mil,3.8Bil,977,Energy,Oil & Gas Integrated
AEB,Algae Tec Ltd,"Algae Tec Ltd is engaged in the development of the technology for the production of algal oil and algal biomass for sale as feedstock to producers of biodiesel, jet fuel and ethanol.",,http://www.algaetec.com.au,17.2Mil,-3.3Mil,0.6Mil,,Industrials,Waste Management
AED,Aedifica SA,"Aedifica SA is a Public Regulated Real Estate Company. Its segments are senior housing, apartment buildings, & hotels & others. It creates a balanced portfolio of residential buildings that generates recurring revenue & offers potential for capital gains.",,http://www.aedifica.be,1.0Bil,40.3Mil,61.9Mil,35,Real Estate,REIT - Residential
AEG,Aegon NV ADR,"Aegon NV provides life insurance, pensions and asset management products and services in the USA, Europe, and Asia. It offers life and protection, and accidental death products. It also offers individual savings and retirement products.",,http://www.aegon.com,10.7Bil,0.8Bil,58.3Bil,"30,000",Financial Services,Insurance - Diversified
AEK,American Capital Ltd,"American Capital Ltd is an asset management and private equity firm. The Company originates, underwrites and manages investments in the middle market private equity, leveraged finance, real estate, energy and structured products.",Cyclical,http://www.american-capital.com,3.4Bil,-56.7Mil,0.5Bil,233,Financial Services,Asset Management
AER,AerCap Holdings NV,"AerCap Holdings NV provides aircraft leasing & aviation finance services. Its activities also include aircraft asset management, corporate services, remarketing of aircraft, collecting rental, maintenance payments & monitoring aircraft maintenance.",,http://www.aercap.com,8.1Bil,0.9Bil,5.4Bil,392,Industrials,Airports & Air Services
HIVE,Aerohive Networks Inc,Aerohive Networks Inc designs and develops cloud-managed mobile networking platform that enables enterprises to deploy a mobile-centric network edge.,Cyclical,http://www.aerohive.com,0.3Bil,-38.7Mil,0.2Bil,629,Technology,Communication Equipment
AJRD,Aerojet Rocketdyne Holdings Inc,"Aerojet Rocketdyne Holdings Inc manufactures aerospace and defense products and systems which develops and manufactures propulsion systems for defense and space applications, and armaments for precision tactical and long-range weapon systems applications.",Cyclical,http://www.aerojetrocketdyne.com,1.4Bil,-16.2Mil,1.7Bil,"4,823",Industrials,Aerospace & Defense
AET,Aetna Inc,"Aetna Inc is a health care benefit company. The Company offers traditional and consumer-directed health insurance products and related services, including medical, pharmacy, dental, behavioral health, group life and disability plans.",Aggressive,http://www.aetna.com,43.8Bil,2.5Bil,62.5Bil,"50,100",Healthcare,Health Care Plans
AMG,Affiliated Managers Group Inc,"Affiliated Managers Group Inc., is an asset management company with equity investments in a group of boutique investment management firms or Affiliates.",Cyclical,http://www.amg.com,7.7Bil,0.5Bil,2.2Bil,"3,200",Financial Services,Asset Management
MGR,Mirvac Group,"Mirvac Group owns a diversified property portfolio of retail, commercial, residential and car park properties across Australia. The Company's business segments are Investment and Development.",,http://www.mirvac.com,7.2Bil,1.0Bil,2.9Bil,"1,420",Real Estate,REIT - Office
AFL,Aflac Inc,Aflac Inc is a general business holding company and acts as a management company. The Company sells supplemental health and life insurance in the United States and Japan.,Slow,http://www.aflac.com,29.6Bil,2.6Bil,21.9Bil,"9,915",Financial Services,Insurance - Life
AGCO,AGCO Corp,"AGCO Corp manufactures and distributes agricultural equipment and related replacement parts in various parts of the country. It sells a full range of agricultural equipment, including tractors, combines, self-propelled sprayers, among others.",Cyclical,http://www.agcocorp.com,4.2Bil,0.2Bil,7.3Bil,"19,600",Industrials,Farm & Construction Equipment
A,Agilent Technologies Inc,"Agilent Technologies Inc provides application focused solutions that includes instruments, software, services and consumables for the entire laboratory workflow for life sciences, diagnostics and applied chemical markets.",Slow,http://www.agilent.com,14.6Bil,0.5Bil,4.1Bil,"12,100",Healthcare,Diagnostics & Research
AEM,Agnico Eagle Mines Ltd,"Agnico Eagle Mines Ltd is a gold mining company. It is engaged in production and sale of gold as well as exploration and mine development. Its mining operations are located in Canada, Mexico and Finland.",,http://www.agnico-eagle.com,9.5Bil,80.6Mil,2.1Bil,"5,764",Basic Materials,Gold
ADC,Agree Realty Corp,"Agree Realty Corp is engaged in fully-integrated, self-administered and self-managed REIT. It is focused on the ownership, development, acquisition and management of retail properties net leased to national tenants.",Hard,http://www.agreerealty.com,1.1Bil,40.2Mil,85.4Mil,20,Real Estate,REIT - Retail
AGU,Agrium Inc,Agrium Inc is a retail supplier of agricultural products and services in North and South America and producer and marketer of agricultural nutrients and industrial products.,,http://www.agrium.com,13.6Bil,0.7Bil,13.8Bil,"15,200",Basic Materials,Agricultural Inputs
AL,Air Lease Corp Class A,"Air Lease Corp is an aircraft leasing company, engaged in purchasing commercial aircraft & leasing to airlines. It also provides fleet management services to investors and owners of aircraft portfolios for a management fee.",Cyclical,http://www.airleasecorp.com,3.6Bil,0.4Bil,1.4Bil,74,Industrials,Rental & Leasing Services
APD,Air Products & Chemicals Inc,"Air Products & Chemicals Inc is a supplier of hydrogen and helium. It also provides semiconductor materials, refinery hydrogen, natural gas liquefaction and advanced coatings and adhesives.",Cyclical,http://www.airproducts.com,29.9Bil,0.6Bil,9.5Bil,"19,700",Basic Materials,Chemicals
AYR,Aircastle Ltd,"Aircastle Ltd is a holding company. The Company through its subsidiaries is engaged in investing in aviation assets, including acquiring, leasing, managing and selling high-utility commercial jet aircraft.",,http://www.aircastle.com,1.8Bil,0.1Bil,0.8Bil,103,Industrials,Rental & Leasing Services
AKS,AK Steel Holding Corp,"AK Steel Holding Corp through its subsidiary is engaged in producing flat-rolled carbon, stainless and electrical steels, and tubular products.",Cyclical,http://www.aksteel.com,2.5Bil,-90.8Mil,6.0Bil,"8,500",Basic Materials,Steel
ALG,Alamo Group Inc,"Alamo Group Inc is engaged in the design and manufacture of agricultural equipment and infrastructure maintenance equipment. Its products include tractor-mounted mowing and other vegetation maintenance equipment, among others.",Cyclical,http://www.alamo-group.com,0.8Bil,43.8Mil,0.9Bil,"3,030",Industrials,Farm & Construction Equipment
AGI,Alamos Gold Inc,"Alamos Gold Inc is engaged in the exploration, mine development and extraction of precious metals. It owns and operates the Mulatos mine and holds the mineral rights to the Salamandra group of concessions in the State of Sonora, Mexico.",,http://www.alamosgold.com,1.7Bil,-96.2Mil,0.4Bil,"1,300",Basic Materials,Gold
ALK,Alaska Air Group Inc,"Alaska Air Group Inc through its subsidiaries, provides passenger air, freight and mail services within the state of Alaska and on the West Coast.",Cyclical,http://www.alaskaair.com,9.8Bil,0.9Bil,5.8Bil,"15,143",Industrials,Airlines
AIN,Albany International Corp,"Albany International Corp is a textiles and materials processing company. It designs, manufactures, and markets paper machine clothing for each section of the paper machine and for every grade of paper.",Cyclical,http://www.albint.com,1.5Bil,74.5Mil,0.7Bil,"3,900",Consumer Cyclical,Textile Manufacturing
ALB,Albemarle Corp,"Albemarle Corp is a developer, manufacturer and marketer of engineered specialty chemicals. It provides services to end markets including petroleum refining, consumer electronics, construction, automotive, lubricants and pharmaceuticals.",Cyclical,http://www.albemarle.com,9.3Bil,0.2Bil,3.5Bil,"6,963",Basic Materials,Specialty Chemicals
AA,Alcoa Corp,"Alcoa Corp is a lightweight metals technology, engineering and manufacturing company. It is engaged in the production of bauxite, alumina, aluminum, Cast Products, Rolled Products and Energy.",,http://www.alcoa.com,5.6Bil,-1197.0Mil,9.6Bil,"16,000",Basic Materials,Aluminum
ALR,Alere Inc,"Alere Inc enables individuals to take charge of improving their health and quality of life at home. The Company operates in three segments; professional diagnostics, health information solutions and consumer diagnostics.",Distressed,http://www.alere.com,3.4Bil,-39.3Mil,2.4Bil,"9,200",Healthcare,Diagnostics & Research
ALEX,Alexander & Baldwin Inc,"Alexander & Baldwin Inc is a real estate development company. The Company is engaged in real estate development, real estate leasing, materials and construction, and agribusiness.",Hard,http://www.alexanderbaldwin.com,2.1Bil,-22.3Mil,0.5Bil,"1,496",Real Estate,Real Estate - General
ALX,Alexander's Inc,"Alexander's Inc is a real estate investment trust engaged in leasing, managing, developing and redeveloping its properties. The Company is managed by, and its properties are leased and developed by, Vornado Realty Trust.",Hard,http://www.alx-inc.com,2.1Bil,88.4Mil,0.2Bil,73,Real Estate,REIT - Retail
ARE,Alexandria Real Estate Equities Inc,"Alexandria Real Estate Equities Inc is a real estate investment trust. The Company is engaged in science-driven cluster formation through ownership, operation, management & selective redevelopment & development of properties in office/laboratory space.",Hard,http://www.labspace.com,8.5Bil,-39.2Mil,0.8Bil,278,Real Estate,REIT - Office
BABA,Alibaba Group Holding Ltd ADR,Alibaba Group Holding Ltd is an online & mobile commerce company. The Company through its subsidiaries provides retail and wholesale marketplaces available through personal computer and mobile interfaces.,,http://www.alibabagroup.com,233.5Bil,4.8Bil,18.2Bil,"46,689",Consumer Cyclical,Specialty Retail
Y,Alleghany Corp,Alleghany Corp is engaged in the property and casualty reinsurance and insurance business. The Company is also engaged in private capital investments.,Slow,http://www.alleghany.com,8.7Bil,0.5Bil,6.0Bil,"3,135",Financial Services,Insurance - Property & Casualty
ATI,Allegheny Technologies Inc,"Allegheny Technologies Inc is a diversified specialty materials and components producers. Its products include titanium and titanium alloys, nickel-based alloys and specialty steels, precision forgings, castings and machined components, and zirconium.",Cyclical,http://www.alleghenytechnologies.com,1.8Bil,-877.7Mil,3.1Bil,"9,200",Industrials,Metal Fabrication
ALLE,Allegion PLC,"Allegion PLC provides security products and solutions that keep people safe, secure and productive. Its products include door closers, exit devices, frames, biometrics, special surfaces, video surveillance, wireless connectivity, and cloud technology.",,http://www.allegion.com,6.5Bil,0.2Bil,2.2Bil,"9,400",Industrials,Security & Protection Services
AGN,Allergan PLC,"Allergan PLC is a specialty pharmaceutical company. The Company is engaged in developing, manufacturing and distributing generic, brand and biosimilar products.",,http://www.allergan.com,71.9Bil,14.3Bil,16.7Bil,"31,200",Healthcare,Drug Manufacturers - Specialty & Generic
ALE,ALLETE Inc,"ALLETE Inc is engaged in the genration, transmission and distribution of electric power in the United States.",Aggressive,http://www.allete.com,3.0Bil,0.1Bil,1.4Bil,"1,965",Utilities,Utilities - Regulated Electric
ADS,Alliance Data Systems Corp,"Alliance Data Systems Corp is a provider of transaction-based, data-driven marketing and loyalty solutions serving large, consumer-based businesses in a variety of industries.",Cyclical,http://www.alliancedata.com,12.6Bil,0.7Bil,7.1Bil,"16,000",Financial Services,Credit Services
AOI,Alliance One International Inc,"Alliance One International Inc is engaged in purchasing, processing, packaging, storing and shipping of leaf tobacco and other consumer tobacco products.",Slow,http://www.aointl.com,0.2Bil,65.4Mil,1.9Bil,"7,835",Consumer Defensive,Tobacco
AB,AllianceBernstein Holding LP,"AllianceBernstein Holding LP provides research and investment management services and related services to its clients through institutions, retail and private client, and its sell-side business, Bernstein Research Services.",Cyclical,http://www.alliancecapital.com,2.2Bil,0.2Bil,,"3,600",Financial Services,Asset Management
LNT,Alliant Energy Corp,Alliant Energy Corp operates as a regulated investor-owned public utility holding company. It provides regulated electricity and natural gas services in the Midwest through its two public utility subsidiaries IPL and WPL.,Slow,http://www.alliantenergy.com,8.1Bil,0.4Bil,3.3Bil,"4,070",Utilities,Utilities - Regulated Electric
AWH,Allied World Assurance Co Holdings AG,Allied World Assurance Co Holdings AG is a Swiss-based insurance and reinsurance holding company whose subsidiaries underwrite a diverse portfolio of property & casualty lines of business.,,http://www.awac.com,4.0Bil,0.3Bil,2.7Bil,"1,433",Financial Services,Insurance - Property & Casualty
ALSN,Allison Transmission Holdings Inc,Allison Transmission Holdings Inc along with its subsidiaries is engaged in the design & manufacture of commercial & defense fully-automatic transmissions. It manufactures transmissions for medium- and heavy-duty commercial vehicles & defense vehicles.,Cyclical,http://www.allisontransmission.com,5.3Bil,0.2Bil,1.8Bil,"2,700",Consumer Cyclical,Auto Parts
ALL,Allstate Corp,Allstate Corp is engaged in the property-liability insurance and life insurance business. It offers its products in the United States and Canada.,Slow,http://www.allstate.com,26.5Bil,1.5Bil,35.9Bil,"41,600",Financial Services,Insurance - Property & Casualty
ALLY,Ally Financial Inc,Ally Financial Inc offers financial products and services to automotive dealers and their customers. It provides financial products and services to automotive dealers and their retail customers.,Cyclical,http://www.ally.com,9.2Bil,1.1Bil,5.4Bil,"7,100",Financial Services,Specialty Finance
ALJ,Alon USA Energy Inc,"Alon USA Energy Inc is an independent refiner and marketer of petroleum products, operating in the South Central, Southwestern and Western regions of the United States. It is also a marketer of asphalt in the Southwestern and Western United States.",Hard,http://www.alonusa.com,0.6Bil,-117.2Mil,3.7Bil,"2,860",Energy,Oil & Gas Refining & Marketing
ALDW,Alon USA Partners LP,"Alon USA Partners LP operates a crude oil refinery in Big Spring, Texas with a crude oil throughput capacity of 73,000 barrels per day. It refines crude oil into finished products and markets in Central and West Texas, Oklahoma, New Mexico and Arizona.",Hard,http://www.alonpartners.com,0.6Bil,2.0Mil,1.7Bil,"2,860",Energy,Oil & Gas Refining & Marketing
RESI,Altisource Residential Corp,Altisource Residential Corporation is a real estate investment trust. The Company acquires and manages affordable single-family rental properties for working class families throughout the United States.,Distressed,http://www.altisourceresi.com,0.6Bil,-233.0Mil,68.8Mil,,Real Estate,REIT - Residential
MO,Altria Group Inc,"Altria Group Inc through its subsidiaries manufactures and sells cigarettes, other tobacco products, machine-made large cigars and pipe tobacco. It also maintains a portfolio of leveraged and direct finance leases.",High,http://www.altria.com,122.4Bil,5.2Bil,19.3Bil,"8,800",Consumer Defensive,Tobacco
ACH,Aluminum Corporation of China Ltd ADR,"Aluminum Corporation of China Limited is engaged in manufacturing and distribution of alumina, primary aluminum and aluminum fabricated products. It also engaged in the development of bauxite related resources, the production, and fabrication.",,http://www.chalco.com.cn,6.3Bil,38.1Mil,15.5Bil,"67,482",Basic Materials,Aluminum
AMBR,Amber Road Inc,"Amber Road Inc provides cloud-based trade management solutions including modules for logistics contract & rate management, supply chain visibility & event management, international trade compliance, and Global Knowledge trade content database.",Distressed,http://www.amberroad.com,0.3Bil,-20.9Mil,71.2Mil,749,Technology,Software - Application
ABEV,Ambev SA ADR,"Ambev SA produces, distributes and sells beer, CSDs and other non-alcoholic and non-carbonated products in 19 countries across the Americas. The Company operates in Latin America North, Latin America South and Canada.",,http://www.ambev.com.br,79.5Bil,3.5Bil,14.1Bil,"52,738",Consumer Defensive,Beverages - Brewers
AMC,AMC Entertainment Holdings Inc Class A,"AMC Entertainment Holdings Inc is engaged in theatrical exhibition. It is principally involved in the theatrical exhibition business and owns, operates or has interests in theatres located in the United States.",Classic,https://www.amctheatres.com,3.4Bil,0.1Bil,3.1Bil,"21,300",Consumer Cyclical,Media - Diversified
AMFW,Amec Foster Wheeler PLC ADR,"Amec Foster Wheeler PLC provides engineering, project delivery, asset support, power equipment and consultancy services. It designs, delivers and maintains strategic and complex infrastructure assets across various markets.",,http://www.amecfw.com,2.1Bil,-902.4Mil,6.9Bil,"39,000",Energy,Oil & Gas Equipment & Services
AEE,Ameren Corp,"Ameren Corp through its subsidiaries operates a rate-regulated electric generation, transmission, and distribution business and a rate-regulated natural gas transmission and distribution business in Missouri and Illinois.",Slow,,11.8Bil,0.6Bil,6.0Bil,"8,527",Utilities,Utilities - Regulated Electric
AMRC,Ameresco Inc Class A,"Ameresco, Inc. is an independent provider of comprehensive services, energy efficiency, infrastructure upgrades, asset sustainability and renewable energy solutions for businesses and organizations throughout North America and Europe.",Cyclical,http://www.ameresco.com,0.3Bil,9.8Mil,0.7Bil,"1,037",Industrials,Engineering & Construction
AMX,America Movil SAB de CV ADR,"America Movil SAB de CV with its subsidiaries provides telecommunications services. Its services include mobile & fixed voice services, mobile & fixed data services, internet access & paid TV, and other related services.",,http://www.americamovil.com,36.9Bil,1.2Bil,44.6Bil,"195,475",Communication Services,Telecom Services
AAT,American Assets Trust Inc,"American Assets Trust Inc is a full service, vertically integrated and self-administered real estate investment trust. The Company owns, operates, acquires and develops retail, office, multifamily and mixed-use properties.",Hard,http://www.americanassetstrust.com,1.8Bil,31.9Mil,0.3Bil,152,Real Estate,REIT - Retail
AXL,American Axle & Mfg Holdings Inc,"American Axle & Mfg Holdings Inc manufactures, engineers, designs & validates driveline & drivetrain systems & related components & chassis modules for light trucks, sport utility vehicles, passenger cars, crossover vehicles & commercial vehicles.",Cyclical,http://www.aam.com,1.2Bil,0.3Bil,4.0Bil,"13,050",Consumer Cyclical,Auto Parts
ACC,American Campus Communities Inc,"American Campus Communities Inc is a real estate investment trust (REIT). The Company owns, manages and develops student housing properties in the United States in terms of beds owned, developed, and under management.",Hard,http://www.americancampus.com,6.0Bil,0.1Bil,0.8Bil,"3,108",Real Estate,REIT - Residential
AEO,American Eagle Outfitters Inc,"American Eagle Outfitters is an apparel and accessories retailer. The Company offers clothing, accessories and personal care products. The Company has company operated stores in the USA, Canada, Mexico, Hong Kong, China and the UK.",Cyclical,http://www.ae.com,3.3Bil,0.2Bil,3.6Bil,"37,800",Consumer Cyclical,Apparel Stores
AEP,American Electric Power Co Inc,"American Electric Power Co Inc is a public utility holding company, through its subsidiaries, provides electric service, consisting of generation, transmission and distribution, on an integrated basis to its retail customers.",Classic,http://www.aep.com,28.7Bil,0.7Bil,16.2Bil,"17,405",Utilities,Utilities - Regulated Electric
AEL,American Equity Investment Life Holding Co,American Equity Investment Life Holding Company is engaged in the development and sale of fixed index and fixed rate annuity products. The Company through its wholly-owned life insurance subsidiaries issues fixed annuity and life insurance products.,Slow,http://www.american-equity.com,1.9Bil,-3.8Mil,2.1Bil,490,Financial Services,Insurance - Life
AXP,American Express Co,"American Express Co is a payments, network and travel company, which offers credit payment card products and travel-related services to consumers and businesses.",Cyclical,http://www.americanexpress.com,65.0Bil,5.5Bil,32.5Bil,"54,800",Financial Services,Credit Services
AFA,ASF Group Ltd,"ASF Group Ltd is involved in property marketing and services, mineral and resources, resources trading, corporate services and funds management and advisory services.",,http://www.asfgroupltd.com,0.1Bil,-15.3Mil,1.0Mil,200,Real Estate,Real Estate Services
AFG,American Financial Group Inc,"American Financial Group Inc, through its subsidiaries is engaged in property and casualty insurance, and in the sale of fixed and fixed-indexed annuities in the retail, financial institutions and education markets.",Slow,http://www.afginc.com,7.1Bil,0.4Bil,6.4Bil,"6,500",Financial Services,Insurance - Property & Casualty
AFW,Align Technology Inc,"Align Technology Inc designs, manufactures and markets a system of clear aligner therapy, intra-oral scanners and CAD/CAM digital services used in dentistry, orthodontics, and dental records storage. Its segments are Clear Aligner and Scanners & Services.",Aggressive,http://www.aligntech.com,7.3Bil,0.2Bil,1.0Bil,"4,375",Healthcare,Medical Devices
AMH,American Homes 4 Rent Class A,"American Homes 4 Rent is an internally managed real estate investment trust, engaged in acquiring, renovating, leasing and operating single-family homes as rental properties.",Hard,http://www.americanhomes4rent.com,5.0Bil,-24.2Mil,0.8Bil,781,Real Estate,REIT - Residential
AIG,American International Group Inc,"American International Group Inc is an insurance organization. The Company through its subsidiaries provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services in the United States & abroad.",Slow,http://www.aig.com,65.6Bil,0.4Bil,53.2Bil,"66,400",Financial Services,Insurance - Diversified
AMID,American Midstream Partners LP,"American Midstream Partners LP owns, operates, develops and acquires a portfolio of natural gas midstream energy assets The Company is engaged in the business of gathering, treating, processing, fractionating and transporting.",Hard,http://www.americanmidstream.com,0.4Bil,-256.1Mil,0.2Bil,300,Energy,Oil & Gas Midstream
ARL,American Realty Investors Inc,"American Realty Investors Inc acquires, develops and owns income-producing residential, hotel and commercial real estate properties.",Hard,http://www.amrealtytrust.com,100.2Mil,-5.8Mil,0.1Bil,895,Real Estate,Real Estate - General
